Group	regulator_name	module2	module2_nr	module2_size	M_count	M_fraction	P_count	P_fraction	C_count	C_fraction	H_count	H_fraction	R_count	R_fraction	SumCount	fraction
TF	ENSG00000101126	FB2U	4	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FB2U	6	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FFL	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FFL	2	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FFL	3	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FFL	4	8	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FFL	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000101126	FFL	8	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	3	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	9	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	10	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	11	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	12	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	14	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	16	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	18	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	19	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	20	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	21	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	24	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	25	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	27	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	28	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	29	18	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	31	14	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	34	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	ALL	35	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	0	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	1	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	2	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	4	8	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	5	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	6	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COR	8	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COP	0	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COP	1	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COP	3	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COP	4	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	COP	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	CIR	0	8	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	CIR	1	14	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	CIR	2	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	CIR	3	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FBU	0	8	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FBU	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FBU	2	12	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FBU	3	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FBU	5	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FB2U	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FB2U	3	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FB2U	4	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FB2U	6	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FFL	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FFL	2	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FFL	3	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FFL	4	8	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FFL	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000106546	FFL	8	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	3	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	9	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	10	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	11	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	12	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	14	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	16	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	18	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	19	6	0	0.0	0	0.0	0	0.0	0	0.0	1	16.669999999999998	1	16.669999999999998
TF	ENSG00000170345	ALL	20	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	21	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	24	9	0	0.0	0	0.0	0	0.0	0	0.0	1	11.110000000000001	1	11.110000000000001
TF	ENSG00000170345	ALL	25	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	27	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	28	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	29	18	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	ALL	31	14	0	0.0	0	0.0	0	0.0	0	0.0	2	14.29	2	14.29
TF	ENSG00000170345	ALL	34	5	0	0.0	0	0.0	0	0.0	0	0.0	1	20.0	1	20.0
TF	ENSG00000170345	ALL	35	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	0	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	1	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	2	6	0	0.0	0	0.0	0	0.0	0	0.0	1	16.669999999999998	1	16.669999999999998
TF	ENSG00000170345	COR	4	8	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	5	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	6	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
TF	ENSG00000170345	COR	8	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
