Gene	FDR
ENSG00000130066	0.010103618328429
ENSG00000115084	0.01318834098922
ENSG00000141448	0.003041721664135
ENSG00000198815	0.022043255960102
ENSG00000127914	0.016391047292821
ENSG00000109046	0.005133000927016
ENSG00000197355	0.011080507208513
ENSG00000282019	0.003261038918932
ENSG00000105220	0.003261038918932
ENSG00000150961	0.035234234366163
ENSG00000102144	0.004793235625338
ENSG00000112701	0.006897526581558
ENSG00000146587	0.004935823771347
ENSG00000133606	0.004851708123188
ENSG00000162415	0.01386059083228
ENSG00000114268	0.005068020414379
ENSG00000090615	0.019444970495271
ENSG00000164096	0.00898128947423
ENSG00000166889	0.020251216169089
ENSG00000170162	0.031417890010349
ENSG00000102144	0.001208608836848
ENSG00000068305	0.00778644619064
ENSG00000196208	0.026704679193499
ENSG00000166889	0.014033943039686
ENSG00000164066	0.003243739530033
ENSG00000128595	0.010742147987453
ENSG00000083844	0.014415820627717
ENSG00000127526	0.006933693500312
ENSG00000125775	0.025445593528065
ENSG00000114796	0.006598816252642
ENSG00000145777	0.021045002510433
ENSG00000166128	0.007147861033334
ENSG00000023608	0.033208758283552
ENSG00000128590	0.006050322516257
ENSG00000204406	0.003389729940504
ENSG00000059728	0.042392386737857
ENSG00000120738	0.042338314916744
ENSG00000127526	0.009170665353868
ENSG00000165124	0.017167121745728
ENSG00000163508	0.039530441417793
ENSG00000152767	0.04104034231492
ENSG00000083844	0.01024920236977
ENSG00000164161	0.047837713802652
ENSG00000248098	0.001154349703948
ENSG00000078699	0.007924749144727
ENSG00000148516	0.026471450842176
ENSG00000143320	0.00874268242474
ENSG00000128590	0.00736930173388
ENSG00000274726	0.010434852737863
ENSG00000104728	0.010434852737863
ENSG00000173575	0.004540984646216
ENSG00000055483	0.007367943804031
ENSG00000244754	0.002326330749611
ENSG00000114796	0.012778418799655
ENSG00000142871	0.005187053445723
ENSG00000050165	0.010921995678718
ENSG00000072041	0.031384388832224
ENSG00000111727	0.00780282789709
ENSG00000070476	0.001154349703948
ENSG00000141562	0.004458926946569
