Gene	FDR
ENSG00000149573	0.001562599632109
ENSG00000134198	0.000100840568093
ENSG00000134369	5.86E-05
ENSG00000152661	0.000101421897559
ENSG00000134198	0.018083915365393
ENSG00000111331	0.004208102773741
ENSG00000058085	0.000318714645435
ENSG00000104332	0.003158771609217
ENSG00000188910	0.002550394812677
ENSG00000186918	8.37E-05
ENSG00000108821	0.00040938436224
ENSG00000214274	0.000855376707074
ENSG00000115461	0.001120637210598
ENSG00000181458	0.000522505599177
ENSG00000101198	0.000145060874975
ENSG00000187325	0.000361179071781
ENSG00000128340	0.000171921654255
ENSG00000134369	0.000648205364314
ENSG00000196611	0.000409447456229
ENSG00000106366	0.001294586618495
ENSG00000130635	8.47E-05
ENSG00000162511	0.000622608117782
ENSG00000183668	0.001240617149988
ENSG00000135318	0.000234180701153
ENSG00000108622	0.001406343255746
ENSG00000128805	0.000447916884243
ENSG00000054277	0.001520208006572
ENSG00000011422	0.000173801332714
ENSG00000078401	0.002205603130414
ENSG00000089127	0.001293097117358
ENSG00000183668	0.001774032053796
ENSG00000126709	0.004947877145164
ENSG00000147689	0.009756274396459
ENSG00000111335	6.37E-05
ENSG00000227051	9.23E-05
ENSG00000047457	5.74E-05
ENSG00000186918	0.000164738961802
ENSG00000186918	0.001476548353227
ENSG00000087245	0.000162006129648
ENSG00000104332	0.003673150948429
ENSG00000100342	9.16E-05
ENSG00000186918	0.000137740351677
ENSG00000150995	0.001011634556618
ENSG00000277377	0.002903608192653
ENSG00000197249	0.002903608192653
ENSG00000213626	0.00065213893346
ENSG00000168056	0.000547717417438
ENSG00000147872	0.000167344202102
ENSG00000119938	0.003016838726654
ENSG00000137959	0.001010297495182
ENSG00000104881	0.000286980685783
ENSG00000116774	0.017719862151404
ENSG00000135324	0.000397570329744
ENSG00000061656	0.000327881138186
ENSG00000121858	0.001051617232405
ENSG00000137965	0.004346797701594
ENSG00000047457	5.80E-05
ENSG00000142227	0.000575493807962
ENSG00000011422	0.000339946852439
ENSG00000197046	0.000619900282989
ENSG00000131016	0.000127661956863
ENSG00000100003	0.001735582666046
ENSG00000026297	0.008423496872404
ENSG00000244414	0.001352173808609
ENSG00000170525	0.000280302295018
ENSG00000135318	0.000173801332714
ENSG00000196981	0.001967386296145
ENSG00000114270	0.000724927842356
ENSG00000011426	0.001119043045034
ENSG00000047457	0.000104145165994
ENSG00000137801	5.86E-05
ENSG00000121858	0.000582901060165
ENSG00000122884	7.10E-05
ENSG00000107551	0.000723913863245
ENSG00000136155	0.0003484466157
ENSG00000134369	0.001781168461103
ENSG00000144063	0.000167053031605
ENSG00000105639	0.006698239493326
ENSG00000177283	0.001967386296145
ENSG00000069667	0.000464006643204
ENSG00000121858	0.026189322772493
ENSG00000135318	0.004854214312886
ENSG00000143847	0.000846853955511
ENSG00000142156	0.000127661956863
ENSG00000011426	0.003403820940826
ENSG00000186918	0.000514137829668
ENSG00000147689	0.015132163918861
ENSG00000183856	0.000503074899426
ENSG00000047457	0.000679696789702
ENSG00000134873	0.000393578033868
ENSG00000172575	0.004647040547528
ENSG00000179820	0.004657407911141
ENSG00000100060	0.000588768759409
ENSG00000134369	0.002560335067821
ENSG00000154736	0.000876146562665
ENSG00000112796	0.009200518097119
ENSG00000101198	0.005610326317366
ENSG00000008517	0.000594832095937
ENSG00000151364	0.003887952550711
ENSG00000161638	0.000543447376181
ENSG00000135643	0.001130363195245
ENSG00000132470	0.000259181085484
ENSG00000167757	0.002428382812495
ENSG00000185052	0.003023444988791
ENSG00000047457	0.046452408525243
ENSG00000132911	0.00012013780698
ENSG00000165434	0.001443082062235
ENSG00000185885	0.0010761190556
ENSG00000125629	0.000280854662303
ENSG00000148180	0.00305600764337
ENSG00000127824	0.000251676954025
ENSG00000141469	0.0022729358161
ENSG00000158769	2.87E-05
ENSG00000116260	9.14E-05
ENSG00000160207	0.001089742433048
ENSG00000186918	0.000173801332714
ENSG00000142156	0.000589690863224
ENSG00000176171	5.74E-05
ENSG00000100234	0.001666162906757
ENSG00000113532	0.007657543885348
ENSG00000277443	0.0017360871874
ENSG00000124939	0.007753759968559
ENSG00000091972	0.002117711496921
ENSG00000151364	0.00377199777026
ENSG00000132470	0.000271530394562
ENSG00000113369	0.000441791276548
ENSG00000185052	0.000573025009397
ENSG00000133216	0.003886323073191
ENSG00000154736	0.003856013945826
ENSG00000137801	0.000232623856104
ENSG00000178150	0.000309257841901
ENSG00000158769	7.32E-05
ENSG00000091844	0.000148822077172
ENSG00000014914	0.001352173808609
ENSG00000105048	0.000117286214285
ENSG00000185745	0.001177675412738
ENSG00000176171	0.000214157618077
ENSG00000117394	6.57E-05
ENSG00000137673	0.000688887826215
ENSG00000112562	0.002680245597068
ENSG00000101265	0.000734386043778
ENSG00000053747	0.000941830953746
ENSG00000137801	0.001034700812308
ENSG00000117122	0.006722599207112
ENSG00000100003	0.000999453863791
ENSG00000142173	0.002567868143654
ENSG00000151746	0.000779970459412
ENSG00000166147	0.000125752972467
ENSG00000132470	0.001393272263771
ENSG00000170848	0.016394403006183
ENSG00000101198	0.000360166331966
ENSG00000147689	0.000862250994096
ENSG00000128335	0.00012013780698
ENSG00000179772	0.015971830179387
ENSG00000277443	0.0003484466157
ENSG00000142173	0.000857803331455
ENSG00000155066	0.003663699052162
ENSG00000114270	0.001266171467556
ENSG00000124225	0.000520846338118
ENSG00000157601	0.008034050546892
ENSG00000169583	0.001002410192329
ENSG00000145014	0.001753814686872
ENSG00000127329	0.002170172789216
ENSG00000147041	0.001085658810057
ENSG00000152377	0.001755572609899
