Gene	FDR
ENSG00000176142	0.007051579794201
ENSG00000140199	7.3E-05
ENSG00000288399	0.000467476839659
ENSG00000213859	0.000467476839659
ENSG00000166147	0.001372359817248
ENSG00000128595	0.001835814485115
ENSG00000085552	0.000249245773131
ENSG00000204406	0.000218882828679
ENSG00000116667	0.00133555744124
ENSG00000105325	0.000335855523665
ENSG00000121774	0.00098451303255
ENSG00000198542	0.001493096155629
ENSG00000142949	0.000342428090381
ENSG00000114796	3.78E-05
ENSG00000070190	0.003545198068439
ENSG00000131759	4.64E-05
ENSG00000166173	6.29E-05
ENSG00000128016	8.43E-05
ENSG00000124107	6.43E-05
ENSG00000188910	7.8E-05
ENSG00000125968	0.001922547643712
ENSG00000173575	0.000462605210415
ENSG00000100292	0.000633876355469
ENSG00000147689	0.002116497532137
ENSG00000123384	0.002717328853734
ENSG00000100311	0.000149212011329
ENSG00000104549	1.77E-05
ENSG00000159167	0.000415871442171
ENSG00000112972	0.000126372818197
ENSG00000136052	0.000860540617697
ENSG00000147689	0.005012714581215
ENSG00000198910	0.003148312741589
ENSG00000087460	0.004381575557856
ENSG00000125629	0.000181770847823
ENSG00000073605	0.000528319207915
ENSG00000112531	0.000608555164091
ENSG00000138640	1.07E-05
ENSG00000154764	0.001684114475993
ENSG00000114796	8.21E-05
ENSG00000143797	1.1E-05
ENSG00000128590	2.99E-05
ENSG00000081041	0.000674302721899
ENSG00000121578	5.37E-05
ENSG00000112701	0.001442866486817
ENSG00000164442	6.73E-05
ENSG00000113739	4.24E-05
ENSG00000137872	0.009360564753619
ENSG00000119899	2.4E-05
ENSG00000119514	3.76E-05
ENSG00000115461	6.19E-05
ENSG00000153879	3.96E-05
ENSG00000117122	0.005220063163358
ENSG00000152256	0.000192560232251
ENSG00000170345	0.024716590731136
ENSG00000156804	0.000165903195012
ENSG00000003756	0.005679106286331
ENSG00000171634	0.00483961441221
ENSG00000006453	2.6E-05
ENSG00000091986	0.014572176802166
ENSG00000185483	0.009318760379881
ENSG00000140379	1.87E-05
ENSG00000143847	0.01401576257228
ENSG00000131435	2.12E-05
ENSG00000187800	6.56E-05
ENSG00000135750	0.000165416593378
ENSG00000116285	0.000166578958648
ENSG00000164442	6.08E-05
ENSG00000177169	0.000173651064031
ENSG00000115464	0.0032227797095
ENSG00000113083	0.001127018118267
ENSG00000178038	0.009726619810907
ENSG00000196199	0.008017361217555
ENSG00000101255	0.001692173748459
ENSG00000130640	3.13E-05
ENSG00000144747	0.023045961157654
ENSG00000152952	2.54E-05
ENSG00000235336	0.005283429057642
ENSG00000203463	0.005283429057642
ENSG00000232180	0.005283429057642
ENSG00000229077	0.005283429057642
ENSG00000206378	0.005283429057642
ENSG00000231479	0.005283429057642
ENSG00000228263	0.005283429057642
ENSG00000204385	0.005283429057642
ENSG00000075292	0.028095965245461
ENSG00000169991	4.9E-05
ENSG00000131791	0.000877319531364
